Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),Sachin-Jigar,null,https://i.scdn.co/image/ab67616d0000b273c7b32b2ebd1ed948c9e7e5c5,Hindi,https://open.spotify.com/track/5bQ6oDLqvw8tywmnSmwEyL
"Jab Tu Sajan (From ""Aap Jaisa Koi"")","Jab Tu Sajan (From ""Aap Jaisa Koi"")",Rochak Kohli,null,https://i.scdn.co/image/ab67616d0000b273003da1c30eae87ca8deafcbd,Hindi,https://open.spotify.com/track/0v716URUxpcG1AhIZmulz7
Sapphire,Sapphire,Ed Sheeran,null,https://i.scdn.co/image/ab67616d0000b2736fbb60d6a7e03ccb940a518e,Hindi,https://open.spotify.com/track/4Q0qVhFQa7j6jRKzo3HDmP
Beparwai,Beparwai,Jonita Gandhi,null,https://i.scdn.co/image/ab67616d0000b2734aacf4e05cbda56951c7218a,Hindi,https://open.spotify.com/track/4qcuk9fEUEvnm2rCoBJG5K
"Saiyaara (From ""Saiyaara"")","Saiyaara (From ""Saiyaara"")",Tanishk Bagchi,null,https://i.scdn.co/image/ab67616d0000b273a7e251b543c77a6ed356dfbe,Hindi,https://open.spotify.com/track/1D35BJlymlh6OLD75WupSF
Chahvan Sohneya,Chahvan Sohneya,Danny,null,https://i.scdn.co/image/ab67616d0000b273a3dc57cdbe8892bdfeb7d7bd,Hindi,https://open.spotify.com/track/64vKXzK9Z5HPHu9t6xzp4J
Lay Jaa,Lay Jaa,Keshav Tyohar,null,https://i.scdn.co/image/ab67616d0000b273721d337941ec4311d273bfd4,Hindi,https://open.spotify.com/track/0sfGeb11ou2BUzctbJaJgG
"Mann Ye Mera (From ""Metro ... In Dino"")","Mann Ye Mera (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2739a5afd03b628b2ba07efdfea,Hindi,https://open.spotify.com/track/1iM0dkfgtTxBi7yQV16pjD
Bin Kahe,Bin Kahe,Sama Thakore,null,https://i.scdn.co/image/ab67616d0000b27340ca2dde0e827f06629f8e90,Hindi,https://open.spotify.com/track/5Nyi3oL9oXkFrkVb4d1RgY
"Raanjhan (From ""Do Patti"")","Raanjhan (From ""Do Patti"")",Sachet-Parampara,null,https://i.scdn.co/image/ab67616d0000b273773c5f60bcb309ef8802e4ef,Hindi,https://open.spotify.com/track/4vHRQnzGcKEtqsLH70tAms
Snake,Snake,Nora Fatehi,null,https://i.scdn.co/image/ab67616d0000b2735eb7e07ed3c2392ea7348b61,Hindi,https://open.spotify.com/track/4phAC7DuhNZHyoB0l1li4j
Ghazal Ho Gayi,Ghazal Ho Gayi,Shaan,null,https://i.scdn.co/image/ab67616d0000b27300a02e3f1d9ae94e3fda3cf3,Hindi,https://open.spotify.com/track/4ArK0hdp9WvgCzy2lYrAet
Besos,Besos,Shreya Ghoshal,null,https://i.scdn.co/image/ab67616d0000b27319d627a0ac614874785b20d6,Hindi,https://open.spotify.com/track/1EBYBmNTZBolUAd7D7AvZf
Pallo Latke,Pallo Latke,Vanitaa Pande,null,https://i.scdn.co/image/ab67616d0000b27325c22a97dac2239acfae1814,Hindi,https://open.spotify.com/track/21vHKtXGwoEM74ciX7S54Z
"Teri Yaadein - Bonus Track [From ""Glory""]","Teri Yaadein - Bonus Track [From ""Glory""]",Yo Yo Honey Singh,null,https://i.scdn.co/image/ab67616d0000b273da7a2cb2dc5a6b538897b99a,Hindi,https://open.spotify.com/track/21qZ9cWV9aJNaGERVNAbUo
"Sajni (From ""Laapataa Ladies"")","Sajni (From ""Laapataa Ladies"")",Ram Sampath,null,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,Hindi,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy
Tarifaan Terriyaaa,Tarifaan Terriyaaa,Jassie Gill,null,https://i.scdn.co/image/ab67616d0000b27350a1dba22ff9b50142695114,Hindi,https://open.spotify.com/track/0LqTsMVNlglxN6Jz1fquU7
Dariya,CIRCLES,Himonshu Parikh,null,https://i.scdn.co/image/ab67616d0000b27358f4f823cfc84ad59a3fcce7,Hindi,https://open.spotify.com/track/6Y9PQMcP2PwspzZvKbMG6w
